Cliente,Vehiculo,Tiempo,X,Y,Z,Rot_X,Rot_Y,Rot_Z,Velocidad,RPM,Combustible,Llenado,Abasteciendo,Giro_Brusco,Tolva,Direccion
10.15.2.90,930E 05,16:53:34,-397.65,135.04,-363.64,0.0,14.24,-0.09,0.0,0,99.6,0.0,No,No,Abajo,D
10.15.2.90,930E 05,16:53:35,-397.65,135.04,-363.64,0.0,14.24,-0.09,0.0,0,99.6,0.0,No,No,Abajo,D
10.15.2.90,930E 05,16:53:36,-397.65,135.04,-363.64,0.0,14.24,-0.09,0.0,0,99.6,0.0,No,No,Abajo,D
10.15.2.90,930E 05,16:53:37,-397.65,135.04,-363.64,0.0,14.24,-0.09,0.0,0,99.6,0.0,No,No,Abajo,D
10.15.2.90,930E 05,16:53:38,-397.65,135.04,-363.64,0.0,14.24,-0.09,0.0,0,99.6,0.0,No,No,Abajo,D
10.15.2.90,930E 05,16:53:39,-397.65,135.04,-363.64,0.0,14.24,-0.09,0.0,0,99.6,0.0,No,No,Abajo,D
10.15.2.90,930E 05,16:53:40,-397.65,135.04,-363.64,0.0,14.24,-0.09,0.0,0,99.6,0.0,No,No,Abajo,D
10.15.2.90,930E 05,16:53:41,-397.65,135.04,-363.64,0.0,14.24,-0.09,0.0,0,99.6,0.0,No,No,Abajo,D
10.15.2.90,930E 05,16:53:42,-397.65,135.04,-363.64,0.0,14.24,-0.09,0.0,0,99.6,0.0,No,No,Abajo,D
10.15.2.90,930E 05,16:53:43,-397.65,135.04,-363.64,0.0,14.24,-0.09,0.0,0,99.6,0.0,No,No,Abajo,D
10.15.2.90,930E 05,16:53:44,-397.65,135.04,-363.64,0.0,14.24,-0.09,0.0,0,99.6,0.0,No,No,Abajo,D
10.15.2.90,930E 05,16:53:45,-397.65,135.04,-363.64,0.0,14.24,-0.09,0.0,0,99.6,0.0,No,No,Abajo,D
10.15.2.90,930E 05,16:53:46,-397.65,135.04,-363.64,0.0,14.24,-0.09,0.0,0,99.6,0.0,No,No,Abajo,D
10.15.2.90,930E 05,16:53:47,-397.65,135.04,-363.64,0.0,14.24,-0.09,0.0,0,99.6,0.0,No,No,Abajo,D
10.15.2.90,930E 05,16:53:48,-397.65,135.04,-363.64,0.0,14.24,-0.09,0.0,0,99.6,0.0,No,No,Abajo,D
10.15.2.90,930E 05,16:53:49,-397.65,135.04,-363.64,0.0,14.24,-0.09,0.0,0,99.6,0.0,No,No,Abajo,D
10.15.2.14,930E 04,16:53:49,-387.91,134.91,-334.18,-3.3,-89.28,2.76,0.0,0,99.9,100.0,No,No,Abajo,D
10.15.2.90,930E 05,16:53:50,-397.65,135.04,-363.64,0.0,14.24,-0.09,0.0,0,99.6,0.0,No,No,Abajo,D
10.15.2.14,930E 04,16:53:50,-387.91,134.91,-334.18,-3.3,-89.28,2.76,0.0,0,99.9,100.0,No,No,Abajo,D
10.15.2.90,930E 05,16:53:51,-397.65,135.04,-363.64,0.0,14.24,-0.09,0.0,0,99.6,0.0,No,No,Abajo,D
10.15.2.14,930E 04,16:53:51,-387.91,134.91,-334.18,-3.3,-89.28,2.76,0.0,0,99.9,100.0,No,No,Abajo,D
10.15.2.90,930E 05,16:53:52,-397.65,135.04,-363.64,0.0,14.24,-0.09,0.0,0,99.6,0.0,No,No,Abajo,D
10.15.2.14,930E 04,16:53:52,-387.91,134.91,-334.18,-3.3,-89.28,2.76,0.0,0,99.9,100.0,No,No,Abajo,D
10.15.2.90,930E 05,16:53:53,-397.65,135.04,-363.64,0.0,14.24,-0.09,0.0,0,99.6,0.0,No,No,Abajo,D
10.15.2.14,930E 04,16:53:53,-387.91,134.91,-334.18,-3.3,-89.28,2.76,0.0,0,99.9,100.0,No,No,Abajo,D
10.15.2.90,930E 05,16:53:54,-397.65,135.04,-363.64,0.0,14.24,-0.09,0.0,0,99.6,0.0,No,No,Abajo,D
10.15.2.14,930E 04,16:53:54,-387.91,134.91,-334.18,-3.3,-89.28,2.76,0.0,0,99.9,100.0,No,No,Abajo,D
10.15.2.90,930E 05,16:53:55,-397.65,135.04,-363.64,0.0,14.24,-0.09,0.0,0,99.6,0.0,No,No,Abajo,D
10.15.2.14,930E 04,16:53:55,-387.91,134.91,-334.18,-3.3,-89.28,2.76,0.0,0,99.9,100.0,No,No,Abajo,D
10.15.2.90,930E 05,16:53:56,-397.65,135.04,-363.64,0.0,14.24,-0.09,0.0,0,99.6,0.0,No,No,Abajo,D
10.15.2.14,930E 04,16:53:56,-387.91,134.91,-334.18,-3.3,-89.28,2.76,0.0,0,99.9,100.0,No,No,Abajo,D
10.15.2.90,930E 05,16:53:57,-397.65,135.04,-363.64,0.0,14.24,-0.09,0.0,0,99.6,0.0,No,No,Abajo,D
10.15.2.14,930E 04,16:53:57,-387.91,134.91,-334.18,-3.3,-89.28,2.76,0.0,0,99.9,100.0,No,No,Abajo,D
10.15.2.90,930E 05,16:53:58,-397.65,135.04,-363.64,0.0,14.24,-0.09,0.0,0,99.6,0.0,No,No,Abajo,D
10.15.2.14,930E 04,16:53:58,-387.91,134.91,-334.18,-3.3,-89.28,2.76,0.0,0,99.9,100.0,No,No,Abajo,D
10.15.2.90,930E 05,16:54:59,-397.65,135.04,-363.64,0.0,14.24,-0.09,0.0,0,99.6,0.0,No,No,Abajo,D
10.15.2.14,930E 04,16:54:00,-387.91,134.91,-334.18,-3.3,-89.28,2.76,0.0,0,99.9,100.0,No,No,Abajo,D
10.15.2.90,930E 05,16:54:00,-397.65,135.04,-363.64,0.0,14.24,-0.09,0.0,0,99.6,0.0,No,No,Abajo,D
10.15.2.14,930E 04,16:54:01,-387.91,134.91,-334.18,-3.3,-89.28,2.76,0.0,0,99.9,100.0,No,No,Abajo,D
10.15.2.90,930E 05,16:54:01,-397.65,135.04,-363.64,0.0,14.24,-0.09,0.0,0,99.6,0.0,No,No,Abajo,D
10.15.2.14,930E 04,16:54:02,-387.91,134.91,-334.18,-3.3,-89.28,2.76,0.0,0,99.9,100.0,No,No,Abajo,D
10.15.2.90,930E 05,16:54:02,-397.65,135.04,-363.64,0.0,14.24,-0.09,0.0,0,99.6,0.0,No,No,Abajo,D
10.15.2.14,930E 04,16:54:03,-387.91,134.91,-334.18,-3.3,-89.28,2.76,0.0,0,99.9,100.0,No,No,Abajo,D
